name;rep;ident;sex;treat;osr;density;lengde;stlengde;full;embryo;ubegg;partnere;relfit;relmat
108F01;1;11;1;1;1;1;167;-1.085007762;;0;;0;0;0
108F03;1;11;1;1;1;1;168;-1.045987063;;0;;0;0;0
108F08;1;11;1;1;1;1;177;-0.704903709;;0;;0;0;0
108F20;1;11;1;1;1;1;164;-1.2034874;;0;;0;0;0
108F35;1;13;1;3;1;2;175;-0.937798697;;0;;0;0;0
108F42;1;13;1;3;1;2;189;-0.286138738;;0;;0;0;0
108F44;1;13;1;3;1;2;172;-1.084212728;;0;;0;0;0
108F49;1;13;1;3;1;2;179;-0.746436868;;0;;0;0;0
108F51;1;13;1;3;1;2;237;1.630145141;;0;;0;0;0
108M09;1;11;2;1;1;1;184;0.402066796;0;0;0;0;0;0
108M54;1;12;2;2;2;1;181;0.692472001;0;0;0;0;0;0
108M57;1;12;2;2;2;1;217;2.316511633;0;0;0;0;0;0
108M12;1;14;2;4;2;2;166;-0.224355619;0;0;0;0;0;0
108M41;1;14;2;4;2;2;181;0.495631115;0;0;0;0;0;0
108M45;1;14;2;4;2;2;174;0.167371118;0;0;0;0;0;0
208F13;2;21;1;1;1;1;199;0.828815666;;0;;0;0;0
208F14;2;21;1;1;1;1;151;-1.56249451;;0;;0;0;0
208F16;2;21;1;1;1;1;176;-0.235228217;;0;;0;0;0
208F18;2;21;1;1;1;1;172;-0.434395217;;0;;0;0;0
208F20;2;21;1;1;1;1;175;-0.284592356;;0;;0;0;0
208F23;2;21;1;1;1;1;188;0.336190917;;0;;0;0;0
208F24;2;21;1;1;1;1;202;0.958444762;;0;;0;0;0
208F25;2;21;1;1;1;1;181;0.007459444;;0;;0;0;0
208F28;2;21;1;1;1;1;163;-0.900002462;;0;;0;0;0
208F05;2;22;1;2;2;1;165;-1.020405683;;0;;0;0;0
208F42;2;23;1;3;1;2;225;1.66073853;;0;;0;0;0
208F43;2;23;1;3;1;2;165;-0.75736593;;0;;0;0;0
208F44;2;23;1;3;1;2;182;0.007162489;;0;;0;0;0
208F45;2;23;1;3;1;2;138;-2.150525838;;0;;0;0;0
208F51;2;23;1;3;1;2;197;0.624617516;;0;;0;0;0
208F54;2;23;1;3;1;2;176;-0.254195186;;0;;0;0;0
208M27;2;22;2;2;2;1;167;0.122232457;0;0;0;0;0;0
208M36;2;22;2;2;2;1;190;1.373277147;0;0;0;0;0;0
208M37;2;22;2;2;2;1;163;-0.112827455;0;0;0;0;0;0
208M56;2;22;2;2;2;1;156;-0.538414429;0;0;0;0;0;0
208M22;2;24;2;4;2;2;138;-1.288008717;0;0;0;0;0;0
109F13;4;41;1;1;1;1;198;0.344582243;;0;;0;0;0
